"date","area_name","value"
1973-01-01,"U.S.",843900
1973-02-01,"U.S.",747331
1973-03-01,"U.S.",648504
1973-04-01,"U.S.",465867
1973-05-01,"U.S.",326313
1973-06-01,"U.S.",207172
1973-07-01,"U.S.",150349
1973-08-01,"U.S.",142498
1973-09-01,"U.S.",159378
1973-10-01,"U.S.",205013
1973-11-01,"U.S.",392459
1974-01-01,"U.S.",816943
1974-02-01,"U.S.",688478
1974-03-01,"U.S.",597641
1974-04-01,"U.S.",482013
1974-05-01,"U.S.",315920
1974-06-01,"U.S.",215382
1974-07-01,"U.S.",166289
1974-08-01,"U.S.",142086
1974-09-01,"U.S.",154824
1974-10-01,"U.S.",235176
1974-11-01,"U.S.",358546
1975-01-01,"U.S.",750713
1975-02-01,"U.S.",732408
1975-03-01,"U.S.",677687
1975-04-01,"U.S.",596831
1975-05-01,"U.S.",337326
1975-06-01,"U.S.",203708
1975-07-01,"U.S.",167293
1975-08-01,"U.S.",143604
1975-09-01,"U.S.",153980
1975-10-01,"U.S.",223383
1975-11-01,"U.S.",329397
1976-01-01,"U.S.",843235
1976-02-01,"U.S.",739592
1976-03-01,"U.S.",578491
1976-04-01,"U.S.",442648
1976-05-01,"U.S.",315760
1976-06-01,"U.S.",220871
1976-07-01,"U.S.",170257
1976-08-01,"U.S.",140774
1976-09-01,"U.S.",152346
1976-10-01,"U.S.",241902
1976-11-01,"U.S.",471326
1977-01-01,"U.S.",936793
1977-02-01,"U.S.",823439
1977-03-01,"U.S.",560779
1977-04-01,"U.S.",401258
1977-05-01,"U.S.",251756
1977-06-01,"U.S.",182212
1977-07-01,"U.S.",146064
1977-08-01,"U.S.",131330
1977-09-01,"U.S.",140661
1977-10-01,"U.S.",223663
1977-11-01,"U.S.",371888
1978-01-01,"U.S.",816411
1978-02-01,"U.S.",837768
1978-03-01,"U.S.",680825
1978-04-01,"U.S.",445702
1978-05-01,"U.S.",307604
1978-06-01,"U.S.",184388
1978-07-01,"U.S.",146989
1978-08-01,"U.S.",130270
1978-09-01,"U.S.",135489
1978-10-01,"U.S.",209515
1978-11-01,"U.S.",376411
1979-01-01,"U.S.",867301
1979-02-01,"U.S.",892145
1979-03-01,"U.S.",659720
1979-04-01,"U.S.",463492
1979-05-01,"U.S.",287548
1979-06-01,"U.S.",189143
1979-07-01,"U.S.",147607
1979-08-01,"U.S.",133244
1979-09-01,"U.S.",137611
1979-10-01,"U.S.",215151
1979-11-01,"U.S.",378577
1980-01-01,"U.S.",722000
1980-02-01,"U.S.",774000
1980-03-01,"U.S.",673000
1980-04-01,"U.S.",451000
1980-05-01,"U.S.",279000
1980-06-01,"U.S.",191000
1980-07-01,"U.S.",145000
1980-08-01,"U.S.",129000
1980-09-01,"U.S.",135000
1980-10-01,"U.S.",214000
1980-11-01,"U.S.",392000
1981-01-01,"U.S.",831000
1981-02-01,"U.S.",740000
1981-03-01,"U.S.",585000
1981-04-01,"U.S.",372000
1981-05-01,"U.S.",260000
1981-06-01,"U.S.",168000
1981-07-01,"U.S.",136000
1981-08-01,"U.S.",123000
1981-09-01,"U.S.",133000
1981-10-01,"U.S.",232000
1981-11-01,"U.S.",364000
1982-01-01,"U.S.",866000
1982-02-01,"U.S.",786000
1982-03-01,"U.S.",602000
1982-04-01,"U.S.",451000
1982-05-01,"U.S.",233000
1982-06-01,"U.S.",165000
1982-07-01,"U.S.",138000
1982-08-01,"U.S.",123000
1982-09-01,"U.S.",136000
1982-10-01,"U.S.",204000
1982-11-01,"U.S.",372000
1983-01-01,"U.S.",849621
1983-02-01,"U.S.",671628
1983-03-01,"U.S.",580985
1983-04-01,"U.S.",444247
1983-05-01,"U.S.",276395
1983-06-01,"U.S.",164337
1983-07-01,"U.S.",124457
1983-08-01,"U.S.",114458
1983-09-01,"U.S.",122538
1983-10-01,"U.S.",175875
1983-11-01,"U.S.",310895
1984-01-01,"U.S.",886307
